scheme_code,scheme_name,fund_house,nav_date,nav_value,fetched_at
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,01-06-2026,192.31950,2026-06-02 15:47:44
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,01-06-2026,104.70250,2026-06-02 15:47:47
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,01-06-2026,103.09480,2026-06-02 15:47:49
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,01-06-2026,97.19440,2026-06-02 15:47:53
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,01-06-2026,6156.75320,2026-06-02 15:47:55
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,01-06-2026,246.98140,2026-06-02 15:47:58
